2016-01-25 12:36:44,861 : INFO : categ=Yelp, ftype=STR, index=0, rmse=0.1083369784, corr=0.0741756876, pval=0.0000000000, mse=0.0117369009, mae=0.0812430249, likelihood=-12.5607297168, basehood=-12.1681633872
2016-01-25 12:36:59,090 : INFO : categ=Yelp, ftype=TOPICS_64, index=0, rmse=0.1055199148, corr=0.2274924331, pval=0.0000000000, mse=0.0111344524, mae=0.0791395829, likelihood=-12.5382894988, basehood=-12.1681633872
2016-01-25 12:39:13,220 : INFO : categ=Yelp, ftype=TFIDF, index=0, rmse=0.1090920329, corr=0.2775386858, pval=0.0000000000, mse=0.0119010716, mae=0.0828879526, likelihood=-12.5698895798, basehood=-12.1681633872
2016-01-25 12:39:27,324 : INFO : categ=Yelp, ftype=LIWC, index=0, rmse=0.1055704926, corr=0.2285418406, pval=0.0000000000, mse=0.0111451289, mae=0.0793394844, likelihood=-12.5395080691, basehood=-12.1681633872
2016-01-25 12:39:55,726 : INFO : categ=Yelp, ftype=INQUIRER, index=0, rmse=0.1056778421, corr=0.2389655947, pval=0.0000000000, mse=0.0111678063, mae=0.0792883808, likelihood=-12.5407324600, basehood=-12.1681633872
2016-01-25 12:40:07,801 : INFO : categ=Yelp, ftype=GALC, index=0, rmse=0.1080890146, corr=0.1005576128, pval=0.0000000000, mse=0.0116832351, mae=0.0808691534, likelihood=-12.5590998474, basehood=-12.1681633872
2016-01-25 12:40:08,779 : INFO : categ=Yelp, ftype=ConfAll, index=0, rmse=0.1070562079, corr=0.1824004232, pval=0.0000000000, mse=0.0114610317, mae=0.0804450216, likelihood=-12.5513281024, basehood=-12.1681633872
2016-01-25 12:40:19,696 : INFO : categ=Yelp, ftype=STR, index=1, rmse=0.1093568916, corr=0.0958852004, pval=0.0000000000, mse=0.0119589297, mae=0.0820283911, likelihood=-12.7098930482, basehood=-12.3130000400
2016-01-25 12:40:33,667 : INFO : categ=Yelp, ftype=TOPICS_64, index=1, rmse=0.1068111013, corr=0.2320509521, pval=0.0000000000, mse=0.0114086114, mae=0.0799464842, likelihood=-12.6891893347, basehood=-12.3130000400
2016-01-25 12:42:45,541 : INFO : categ=Yelp, ftype=TFIDF, index=1, rmse=0.1104065230, corr=0.2696671346, pval=0.0000000000, mse=0.0121896003, mae=0.0838195177, likelihood=-12.7221094412, basehood=-12.3130000400
2016-01-25 12:42:59,428 : INFO : categ=Yelp, ftype=LIWC, index=1, rmse=0.1069045006, corr=0.2223135648, pval=0.0000000000, mse=0.0114285722, mae=0.0803935911, likelihood=-12.6910518027, basehood=-12.3130000400
2016-01-25 12:43:27,405 : INFO : categ=Yelp, ftype=INQUIRER, index=1, rmse=0.1070763364, corr=0.2332010384, pval=0.0000000000, mse=0.0114653418, mae=0.0803581928, likelihood=-12.6928337727, basehood=-12.3130000400
2016-01-25 12:43:39,344 : INFO : categ=Yelp, ftype=GALC, index=1, rmse=0.1093139258, corr=0.1149729835, pval=0.0000000000, mse=0.0119495344, mae=0.0818975898, likelihood=-12.7100521486, basehood=-12.3130000400
2016-01-25 12:43:40,309 : INFO : categ=Yelp, ftype=ConfAll, index=1, rmse=0.1082629024, corr=0.1927432497, pval=0.0000000000, mse=0.0117208560, mae=0.0813507344, likelihood=-12.7021105630, basehood=-12.3130000400
