2016-01-20 03:19:59,734 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=0, rmse=0.2444760513, rho=0.2490768948, pval=0.0000000000, mse=0.0597685397, mae=0.1594573758
2016-01-20 03:27:14,575 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=1, rmse=0.2422489313, rho=0.2551445570, pval=0.0000000000, mse=0.0586845447, mae=0.1569211096
2016-01-20 03:35:09,806 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=2, rmse=0.2390316858, rho=0.1939954884, pval=0.0000000000, mse=0.0571361468, mae=0.1560959426
2016-01-20 03:43:10,523 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=3, rmse=0.2424911038, rho=0.2340610171, pval=0.0000000000, mse=0.0588019354, mae=0.1564125750
2016-01-20 03:51:10,262 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=4, rmse=0.2371936327, rho=0.2437742298, pval=0.0000000000, mse=0.0562608194, mae=0.1534302737
2016-01-20 03:59:08,824 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=5, rmse=0.2438088842, rho=0.2384368297, pval=0.0000000000, mse=0.0594427720, mae=0.1583983515
2016-01-20 04:07:07,357 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=6, rmse=0.2415062296, rho=0.2303059045, pval=0.0000000000, mse=0.0583252589, mae=0.1565845257
2016-01-20 04:15:07,222 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=7, rmse=0.2392374564, rho=0.2340356831, pval=0.0000000000, mse=0.0572345606, mae=0.1540364298
2016-01-20 04:23:03,746 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=8, rmse=0.2443020356, rho=0.2339115420, pval=0.0000000000, mse=0.0596834846, mae=0.1580675875
2016-01-20 04:31:01,082 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=9, rmse=0.2412066340, rho=0.2478373532, pval=0.0000000000, mse=0.0581806403, mae=0.1564020081
2016-01-20 04:39:01,093 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=10, rmse=0.2439469264, rho=0.2583059633, pval=0.0000000000, mse=0.0595101029, mae=0.1576278065
